Date,High,Low,Open,Close,Currency
2017-09-19,1311.78,1304.98,1307.3,1311.28,USD
2017-09-20,1316.25,1295.96,1310.94,1301.15,USD
2017-09-21,1302.07,1287.99,1301.02,1291.39,USD
2017-09-22,1299.14,1291.3,1291.3,1297.38,USD
2017-09-25,1311.9,1290.63,1297.67,1310.55,USD
2017-09-26,1313.92,1293.04,1309.9,1293.89,USD
2017-09-27,1296.54,1281.12,1293.61,1281.12,USD
2017-09-28,1289.0,1277.64,1281.11,1287.3,USD
2017-09-29,1290.47,1278.24,1286.91,1279.45,USD
2017-10-02,1279.61,1270.45,1279.5,1271.12,USD
2017-10-03,1274.71,1267.91,1270.71,1271.75,USD
2017-10-04,1282.42,1270.85,1271.64,1274.69,USD
2017-10-05,1279.42,1266.9,1275.16,1268.05,USD
2017-10-06,1277.18,1260.89,1269.09,1276.03,USD
2017-10-09,1285.5,1275.21,1275.45,1284.1,USD
2017-10-10,1294.63,1282.29,1284.35,1287.85,USD
2017-10-11,1293.56,1284.12,1287.91,1291.8,USD
2017-10-12,1297.6,1289.47,1292.01,1293.6,USD
2017-10-13,1304.88,1291.04,1293.73,1304.88,USD
2017-10-16,1306.8,1291.01,1303.88,1294.74,USD
2017-10-17,1296.66,1281.69,1295.32,1285.19,USD
2017-10-18,1289.08,1277.13,1285.18,1281.17,USD
2017-10-19,1290.69,1276.61,1281.25,1289.79,USD
2017-10-20,1291.47,1277.88,1289.57,1280.72,USD
2017-10-23,1283.66,1272.24,1277.45,1282.07,USD
2017-10-24,1284.06,1273.43,1282.01,1276.72,USD
2017-10-25,1280.39,1271.03,1276.85,1277.41,USD
2017-10-26,1282.8,1265.69,1277.56,1267.11,USD
2017-10-27,1274.8,1264.1,1268.07,1273.35,USD
2017-10-30,1279.29,1268.8,1273.59,1276.24,USD
2017-10-31,1278.36,1268.01,1276.29,1271.58,USD
2017-11-01,1281.25,1267.98,1270.88,1274.39,USD
2017-11-02,1284.49,1273.64,1274.91,1275.99,USD
2017-11-03,1279.74,1265.55,1276.8,1269.85,USD
2017-11-06,1283.01,1266.05,1269.49,1281.55,USD
2017-11-07,1281.97,1271.68,1281.82,1275.53,USD
2017-11-08,1287.52,1275.23,1275.85,1281.3,USD
2017-11-09,1288.72,1280.09,1281.62,1285.3,USD
2017-11-10,1287.16,1273.33,1285.21,1276.14,USD
2017-11-13,1280.22,1274.29,1275.16,1277.99,USD
2017-11-14,1283.68,1270.64,1278.17,1280.71,USD
2017-11-15,1289.47,1277.04,1281.0,1278.8,USD
2017-11-16,1281.6,1274.98,1278.47,1278.47,USD
